 0.915568   -0.257797   -0.308668
 0.171751    0.901345    0.397592
 0.541822    0.447986   -0.711152
-0.620052   -0.745456    0.244603
0.026281   -0.894727    0.445840
0.016716   -0.591520    0.806117
0.987108    0.084661    0.135834
-0.220974    0.974193    0.046018
0.679580   -0.416543   -0.603873
0.936980   -0.037537    0.347361
-0.790266   -0.322477   -0.521045
0.342480   -0.767254   -0.542243
0.069208   -0.956800    0.282391
0.764412   -0.432490    0.478150
-0.599427    0.710574   -0.368472
-0.638289   -0.234792    0.733116
0.331413   -0.653883   -0.680148
-0.720304    0.121381   -0.682956
-0.359903    0.931597    0.050960
-0.528160   -0.708164    0.468562
-0.114968   -0.047273   -0.992244
-0.007810   -0.679244    0.733871
0.328497   -0.404415    0.853545
0.148354    0.744604    0.650812
0.704016    0.655377    0.273573
0.867790    0.181536   -0.462585
0.213656    0.969908   -0.116747
-0.492074    0.534329   -0.687281
0.241202   -0.155084    0.958003
0.175574   -0.258658    0.949879
-0.258893   -0.456159    0.851407
   32:    0.878409    0.466006   -0.105998
   33:   -0.682985    0.193322   -0.704385
   34:    0.417484    0.449129   -0.789931
   35:   -0.199614   -0.952691   -0.229202
   36:    0.434509   -0.656468    0.616645
   37:    0.668596   -0.648584    0.363757
   38:   -0.187404   -0.251422    0.949561
   39:    0.120848   -0.877533    0.464038
   40:   -0.766804    0.609429   -0.201512
   41:    0.301255    0.040688    0.952675
   42:   -0.106947   -0.280224   -0.953958
   43:   -0.037400   -0.028761   -0.998886
   44:   -0.321987   -0.732749   -0.599503
   45:   -0.007006   -0.699781    0.714323
   46:    0.458877    0.566868   -0.684173
   47:    0.128447   -0.846309    0.516975
   48:   -0.699698    0.424710    0.574495
   49:   -0.905411    0.324636    0.273574
   50:    0.688430   -0.463664   -0.557745
   51:    0.943084    0.012562   -0.332318
   52:    0.461191   -0.871458    0.166925
   53:    0.026532   -0.939526   -0.341447
   54:    0.411764   -0.786423   -0.460423
   55:   -0.373948   -0.854472    0.360611
   56:   -0.182299   -0.811290   -0.555496
   57:    0.562038   -0.732537    0.384061
   58:    0.202379   -0.830504    0.518947
   59:   -0.777349    0.607748    0.162390
   60:   -0.687653   -0.247328    0.682614
   61:   -0.632632   -0.249458    0.733176
   62:   -0.783310   -0.347121    0.515687
   63:   -0.729120    0.487242    0.480603
   64:    0.732846   -0.117475   -0.670176
   65:   -0.928430    0.046212    0.368622
   66:   -0.635971    0.355620    0.684891
   67:   -0.084279    0.472181    0.877463
   68:    0.641274   -0.053048    0.765476
   69:   -0.370767    0.141012    0.917958
   70:    0.293359    0.817562    0.495513
   71:    0.959370    0.066428   -0.274221
   72:    0.426840   -0.158011   -0.890416
   73:    0.614951   -0.130157    0.777749
   74:   -0.884274   -0.243792    0.398276
   75:    0.219448    0.962142   -0.161631
   76:    0.097723   -0.050411    0.993936
   77:   -0.913207    0.399677   -0.079445
   78:    0.143236   -0.738911   -0.658402
   79:   -0.505566    0.562809    0.653949
   80:    0.727159    0.629136    0.274642
   81:    0.966732    0.050819   -0.250691
   82:   -0.635499   -0.194505    0.747201
   83:    0.097929   -0.192995    0.976301
   84:    0.144941   -0.987367   -0.064013
   85:   -0.524148    0.393122   -0.755463
   86:   -0.786076    0.052191    0.615922
   87:   -0.707007   -0.679484    0.196067
   88:   -0.867451    0.223084   -0.444705
   89:   -0.113898    0.155456    0.981255
   90:    0.924722   -0.355472    0.136122
   91:    0.072856   -0.964753   -0.252872
   92:   -0.307384   -0.677521   -0.668192
   93:    0.545007   -0.300647   -0.782674
   94:   -0.456045    0.879522    0.135883
   95:   -0.882542    0.409808   -0.230604
   96:    0.484424   -0.644465   -0.591606
   97:   -0.496734    0.761695    0.416024
   98:   -0.327489   -0.940691    0.088606
   99:   -0.384991    0.818533    0.426362
  100:    0.229868    0.865256    0.445526
